"JJ","CA","CB","CC","CD","CE"
2019-08-03,0.280723949513842,0.107276523240122,0.0404406814938961,0.0167612821539912,0.000348394152759167
2019-08-04,0.278693405610941,0.105280376735567,0.0395178488871292,0.0162718530710231,0.000348394152759167
2019-08-05,0.276677549120883,0.103321373501015,0.0386160747786035,0.0157967153068846,0.000348394152759167
2019-08-06,0.274676273806076,0.101398822393555,0.0377348786257537,0.0153354515553694,0.000348394152759167
2019-08-07,0.27268947419737,0.0995120451307069,0.0368737908517138,0.0148876566956034,0.000348394152759167
2019-08-08,0.270717045588497,0.0976603760511255,0.036032352595086,0.0144529374362335,0.000348394152759167
2019-08-09,0.268758884030556,0.0958431618797492,0.0352101154654203,0.0140309119700059,0.000348394152759167
2019-08-10,0.266814886326534,0.0940597614973237,0.0344066413042734,0.0136212096384304,0.000348394152759167
2019-08-11,0.264884950025866,0.0923095457142129,0.0336215019517204,0.0132234706062368,0.000348394152759167
2019-08-12,0.262968973419036,0.0905918970484186,0.0328542790181948,0.0128373455453372,0.000348394152759167
2019-08-13,0.261066855532219,0.088906209507731,0.0321045636615338,0.0124624953280165,0.000348394152759167
2019-08-14,0.259178496121956,0.0872518883759321,0.0313719563691132,0.0120985907290814,0.000348394152759167
2019-08-15,0.257303795669875,0.0856283500029784,0.0306560667449521,0.0117453121367078,0.000348394152759167
2019-08-16,0.255442655377442,0.0840350215990869,0.0299565133016766,0.0114023492717295,0.000348394152759167
2019-08-17,0.253594977160761,0.082471341032653,0.0292729232572307,0.0110694009151257,0.000348394152759167
2019-08-18,0.251760663645394,0.0809367566319284,0.0286049323362262,0.0107461746434645,0.000348394152759167
2019-08-19,0.249939618161242,0.0794307269903901,0.0279521845758252,0.0104323865720721,0.000348394152759167
2019-08-20,0.24813174473744,0.0779527207757294,0.0273143321360528,0.010127761105701,0.000348394152759167
2019-08-21,0.246336948097305,0.0765022165423969,0.0266910351144382,0.00983203069647915,0.000348394152759167
2019-08-22,0.244555133653312,0.0750787025476344,0.0260819613648853,0.0095449356089267,0.000348394152759167
2019-08-23,0.242786207502113,0.0736816765709304,0.0254867863206768,0.00926622369183427,0.000348394152759167
2019-08-24,0.241030076419582,0.0723106457368348,0.0249051928215175,0.00899565015680246,0.000348394152759167
2019-08-25,0.239286647855909,0.0709651263410712,0.0243368709445239,0.00873297736324789,0.000348394152759167
2019-08-26,0.237555829930716,0.0696446436798843,0.0237815178390705,0.00847797460968722,0.000348394152759167
2019-08-27,0.235837531428219,0.0683487318825625,0.0232388375654056,0.0082304179311155,0.000348394152759167
2019-08-28,0.234131661792421,0.0670769337470774,0.0227085409369486,0.00799008990230116,0.000348394152759167
2019-08-29,0.232438131122337,0.0658288005787815,0.0221903453661871,0.00775677944682481,0.000348394152759167
2019-08-30,0.230756850167258,0.064603892032107,0.0216839747140894,0.00753028165169398,0.000348394152759167
2019-08-31,0.229087730322046,0.0634017759552106,0.0211891591429549,0.00731039758737124,0.000348394152759167
2019-09-01,0.227430683622466,0.0622220282375085,0.0207056349726206,0.00709693413305747,0.000348394152759167
2019-09-02,0.225785622740549,0.0610642326600495,0.0202331445399499,0.00688970380707672,0.000348394152759167
2019-09-03,0.224152460979992,0.0599279807486707,0.019771436061528,0.00668852460221404,0.000348394152759167
2019-09-04,0.222531112271584,0.058812871629887,0.0193202634994895,0.00649321982586128,0.000348394152759167
2019-09-05,0.220921491168677,0.0577185118894615,0.0188793864304087,0.00630361794483069,0.000348394152759167
2019-09-06,0.219323512842676,0.0566445154336074,0.0184485699171815,0.00611955243469997,0.000348394152759167
2019-09-07,0.217737093078574,0.0555905033527733,0.0180275843838303,0.00594086163355641,0.000348394152759167
2019-09-08,0.216162148270509,0.0545561037879618,0.0176162054931666,0.0057673886000117,0.000348394152759167
2019-09-09,0.214598595417363,0.0535409517995376,0.017214214027245,0.00559898097536278,0.000348394152759167
2019-09-10,0.213046352118384,0.0525446892384743,0.0168213957705447,0.00543549084977744,0.000348394152759167
2019-09-11,0.211505336568843,0.0515669646199992,0.0164375413958173,0.00527677463238746,0.000348394152759167
2019-09-12,0.209975467555726,0.0506074329995878,0.0160624463525394,0.0051226929251749,0.000348394152759167
